mint,sol_amount,is_buy,market_cap,token_amount,total_supply,usd_market_cap,virtual_sol_reserves,virtual_token_reserves
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,15693678,False,65.896384145,238075776251,1000000000000000,12513.064385294048,46056537109,698923585950756
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,13797443,False,65.419514476,210970586404,1000000000000000,12422.51160384764,45875789351,701677301558646
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,500744562,True,57.83731529,8558488538336,1000000000000000,10982.7278004181,43649130211,737471741814562
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,95262528,True,60.121073171,1581087669016,1000000000000000,11416.39058444119,44087277159,730142621018940
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,112435396,False,62.10986142,1814829918014,1000000000000000,11794.0415850438,44601281127,721728149640980
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,504648892,True,41.341113411,12040386818397,1000000000000000,7850.26402561479,36984375387,870367547668888
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,42184427,False,42.492824423,993876000000,1000000000000000,8068.96242968347,36942190960,871361423668888
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,1075355687,False,34.085318908,32607525355531,1000000000000000,6472.461207440119,32048750633,1004407331863014
23DDazV7Y7EX9j12bJ3n3o76XSNjezE2UVuRVkgGRawi,100000000,True,28.071893474,3550470890299,1000000000000000,5417.03328367778,30160509826,1067289650847748
23GKBPk1muqgKKZNLZUH4fMfji7wcaLCUT3mRHhupump,493296375,False,37.068633877,13500442581400,1000000000000000,7097.90201476796,34050000001,945374449339208
23GKBPk1muqgKKZNLZUH4fMfji7wcaLCUT3mRHhupump,100000001,True,36.654443144,2720262912917,1000000000000000,7018.5927732131195,34449767466,934403985023526
23Z86JmiconKmvZptCRqFt4mww521HSZohaEuw53WGDN,1470297029,True,29.853991923,47019510228947,1000000000000000,5666.884746823859,32470297030,991367586545247
23tYf9nvJ3LBFX21Euwt7ASwo262iUBf7cG8JGSopump,41997201,True,27.958993479,1500000000000,1000000000000000,5306.6169623142005,30041997204,1071500000000000
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,1288404488,True,34.842899751,33737991814858,1000000000000000,6652.55484945843,35711337070,901394421446390
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,131698626,True,42.00557339,2916890800152,1000000000000000,8020.1241273527,38189253330,842907289661539
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,14967843,True,47.990943323,310548210716,1000000000000000,9162.91080866039,39396540549,817076818753225
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,10134548,False,37.72202968,268922831283,1000000000000000,7202.2671268024,34824562678,924347574003003
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,99000000,True,47.635249808,2073051791083,1000000000000000,9106.90705829344,39257379600,819973221876102
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,131990257,False,121.926210076,1084827681550,1000000000000000,23309.85284232968,62516271557,514905947642565
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,240782942,True,142.018733901,1993610916982,1000000000000000,27151.14154719318,62472903486,515263390271090
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,301544407,True,133.655153163,2245812963808,1000000000000000,25552.19218170234,65893917346,488512465983849
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,196059208,True,210.857971353,927608959227,1000000000000000,40311.82696326655,82582454384,389792242166641
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,512461090,True,224.466421168,2269337744794,1000000000000000,42913.49039889824,85515838153,376421499933888
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,139458438,False,276.407886509,513669343682,1000000000000000,52843.659742790616,93415109920,344590934993035
248j4P93Q8UWetihrd6X9WSngxZo3M7oGLfdgVQBpump,3000000000,True,300.155462482,9639749033523,1000000000000000,57383.721317308766,101600677732,316828595957260
24Ee3rBQ8EznNLqpt8NGvtp7rkN8q8mGZWFgCHLxpump,27000000,True,27.958993476,964831651513,1000000000000000,5326.46784711276,30027000000,1072035168348487
24jwnYpktGM3NowALURd36AZZxqjjgB2rpTi7oanpump,12689999,False,29.787238086,426196000000,1000000000000000,5720.93694679716,30952632650,1039976172379424
24kNh6ynsJtGVawZTqXVXhAvAAfnzzxiypZnPuoABThW,562673457,False,29.761434185,18843036356600,1000000000000000,5669.850826584349,30723620730,1047728074967960
254iUrNzSWBrGcCetPH7WaDNEHWkKfAscbQhuYgUpump,38134139,False,29.602562199,1289797371710,1000000000000000,5659.41784120482,30831049244,1044077349852618
254iUrNzSWBrGcCetPH7WaDNEHWkKfAscbQhuYgUpump,28045941,False,29.467842894,952614809106,1000000000000000,5658.12051407694,30770815537,1046121125718259
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,195199437,True,31.872800775,6450868337362,1000000000000000,6103.003892397,31307530290,1028187139120671
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.519460215,273906497950,1000000000000000,6992.7462419682,34276461248,939128452695853
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714641,275922183264,1000000000000000,6941.669799458679,34151014116,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714645,275922183232,1000000000000000,6941.669800224599,34151014120,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714647,275922183216,1000000000000000,6941.669800607559,34151014122,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.25271465,275922183191,1000000000000000,6941.669801182,34151014125,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714659,275922183127,1000000000000000,6941.66980290532,34151014133,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714662,275922183095,1000000000000000,6941.66980347976,34151014136,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714663,275922183086,1000000000000000,6941.66980367124,34151014137,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,36.252714667,275922183062,1000000000000000,6941.66980443716,34151014141,942578159518013
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10504060,False,38.080348082,275922183038,1000000000000000,7291.62505074136,35001014144,919687638905996
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000251,False,38.080209293,262685232422,1000000000000000,7291.598475423641,35001454158,919676077598876
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000001,True,38.058458889,262678628761,1000000000000000,7287.43370806572,35011454184,919413398757096
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,38.080208784,262678628761,1000000000000000,7291.598377960319,35001454184,919676077385857
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,38.080208793,262678628701,1000000000000000,7291.598379683639,35001454192,919676077385857
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000000,False,38.080208794,262678628693,1000000000000000,7291.59837987512,35001454193,919676077385857
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10000001,True,38.0584589,262678628693,1000000000000000,7287.433710171999,35011454194,919413398757164
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,11445555,False,43.585784685,262678628618,1000000000000000,8345.8060514838,37445548633,859648243405147
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10104163,True,44.012814886,229511587689,1000000000000000,8427.57379437128,37650142901,854976837601897
25cxMvkBDzwxPo5ZrXm5njurL5RARdnSxZordN1ppump,10104162,False,44.036447827,229511587671,1000000000000000,8432.09902991396,37640038741,855206349189586
